system   D            wsystem.c:583  maybe_parent_dir                 [   0.00053] Also searching C:\Users\heno\documents\visual studio 2010\Projects\Scrapheap Spaceships\
display  D   display_settings.c:506  _al_score_display_settings       [   0.08891] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.08893] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08895] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.08897] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08899] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08901] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08903] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08905] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08907] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.08909] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08912] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.08913] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08916] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08917] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08920] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08922] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08924] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.08926] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08928] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.08930] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08932] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08934] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08937] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08939] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08941] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08943] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08945] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08947] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
